Id,order_status,order_products_value,order_freight_value,order_items_qty,order_purchase_timestamp,order_aproved_at,order_delivered_customer_date,customer_city,customer_state,customer_zip_code_prefix,review_score,total_order_value,approval_delay_hours,delivery_time_days,freight_ratio
1,delivered,79.0,17.8,1,2017-10-02 10:56:00,2017-10-02 11:07:00,2017-10-10 21:25:00,Luziania,GO,728,5,96.8,0.18333333333333332,8.436805555555555,0.1839
2,delivered,119.9,27.16,1,2018-07-24 20:41:00,2018-07-26 03:24:00,2018-08-07 15:27:00,Joinville,SC,892,5,147.06,30.716666666666665,13.781944444444445,0.1847
3,delivered,519.99,41.69,1,2018-08-08 08:38:00,2018-08-08 08:55:00,2018-08-17 18:06:00,Serra,ES,291,1,561.6800000000001,0.2833333333333333,9.394444444444444,0.0742
4,delivered,29.5,17.92,1,2017-11-18 19:28:00,2017-11-18 19:45:00,2017-12-02 00:28:00,Rio De Janeiro,RJ,222,4,47.42,0.2833333333333333,13.208333333333334,0.3779
5,delivered,26.77,23.11,1,2018-02-13 21:18:00,2018-02-13 22:20:00,2018-02-16 18:17:00,Sao Paulo,SP,40,5,49.879999999999995,1.0333333333333334,2.8743055555555554,0.4633
6,delivered,419.9,23.02,1,2017-07-09 21:57:00,2017-07-09 22:10:00,2017-07-26 10:57:00,Santa Adelia,SP,159,5,442.91999999999996,0.21666666666666667,16.541666666666668,0.052
7,delivered,65.0,16.21,1,2017-04-11 12:22:00,2017-04-13 13:25:00,2017-04-13 13:25:00,Varginha,MG,370,5,81.21000000000001,49.05,2.04375,0.1996
8,delivered,29.99,19.82,1,2017-05-16 13:10:00,2017-05-16 13:22:00,2017-05-26 12:55:00,Sao Paulo,SP,48,4,49.81,0.2,9.989583333333334,0.3979
9,delivered,59.99,51.14,1,2017-01-23 18:29:00,2017-01-25 02:50:00,2017-02-02 14:08:00,Carajas,PA,685,5,111.13,32.35,9.81875,0.4602
10,delivered,56.99,16.13,1,2017-07-29 11:55:00,2017-07-29 12:05:00,2017-08-16 17:14:00,Resende,RJ,275,5,73.12,0.16666666666666666,18.221527777777776,0.2206
11,delivered,599.0,15.69,1,2017-05-16 19:41:00,2017-05-16 19:50:00,2017-05-29 11:18:00,Guaratingueta,SP,125,4,614.69,0.15,12.650694444444444,0.0255
12,delivered,62.0,16.19,1,2017-07-13 19:58:00,2017-07-13 20:10:00,2017-07-19 14:04:00,Tijucas,SC,882,4,78.19,0.2,5.754166666666666,0.2071
13,delivered,250.0,35.02,1,2018-06-07 10:06:00,2018-06-09 03:13:00,2018-06-19 12:05:00,Mirassol,SP,151,1,285.02,41.11666666666667,12.082638888888889,0.1229
